0	0.201358	0.201358	0.202447	0.201358	0.202447
0.0333333	0.168559	0.167623	0.168674	0.167623	0.168674
0.0666667	0.138176	0.136602	0.137599	0.136602	0.137599
0.1	0.110167	0.108223	0.109153	0.108223	0.109153
0.133333	0.0844939	0.0824128	0.0832639	0.0824128	0.0832639
0.166667	0.0611173	0.0590972	0.0598626	0.0590972	0.0598626
0.2	0.04	0.0382034	0.0388782	0.0382034	0.0388782
0.233333	0.0211049	0.019658	0.0202402	0.019658	0.0202402
0.266667	0.00439496	0.00338779	0.00387822	0.00338779	0.00387822
0.3	-0.0101674	-0.0106806	-0.0102783	-0.0106806	-0.0102783
0.333333	-0.0226205	-0.0226205	-0.0222998	-0.0226205	-0.0222998
0.366667	-0.0330036	-0.0325051	-0.0322568	-0.0325051	-0.0322568
0.4	-0.0413579	-0.0404077	-0.0402197	-0.0404077	-0.0402197
0.433333	-0.0477265	-0.0464017	-0.046259	-0.0464017	-0.046259
0.466667	-0.052155	-0.0505603	-0.0504452	-0.0505603	-0.0504452
0.5	-0.0546927	-0.0529569	-0.0528487	-0.0529569	-0.0528487
0.533333	-0.0553925	-0.0536646	-0.05354	-0.0536646	-0.05354
0.566667	-0.0543125	-0.0527569	-0.0525895	-0.0527569	-0.0525895
0.6	-0.0515168	-0.050307	-0.0500678	-0.050307	-0.0500678
0.633333	-0.047077	-0.0463881	-0.0460453	-0.0463881	-0.0460453
0.666667	-0.0410737	-0.0410737	-0.0405925	-0.0410737	-0.0405925
0.7	-0.0335988	-0.0344369	-0.0337798	-0.0344369	-0.0337798
0.733333	-0.0247585	-0.0265511	-0.0256778	-0.0265511	-0.0256778
0.766667	-0.0146769	-0.0174896	-0.0163568	-0.0174896	-0.0163568
0.8	-0.00350111	-0.00732565	-0.00588738	-0.00732565	-0.00588738
0.833333	0.00859148	0.00386744	0.00566002	0.00386744	0.00566002
0.866667	0.0213835	0.0160164	0.0182149	0.0160164	0.0182149
0.9	0.0346025	0.0290479	0.0317069	0.0290479	0.0317069
0.933333	0.0478991	0.0428886	0.0460654	0.0428886	0.0460654
0.966667	0.0608113	0.0574654	0.06122	0.0574654	0.06122
1	0.0727048	0.0727048	0.0771002	0.0727048	0.0771002
